side,cluster,cluster_name,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OID_,GEOID10_1,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,POP_HH,POP_GQ_INS,POP_GQ_NON,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,GEOJOIN,TractOK,Geoid,Shape_Length,Shape_Area
South/Southwest,4,SW Chicago,55,17,31,580300,17031580300,5803,Census Tract 5803,G5020,S,471021,0,41.8251876,-87.708934,534,17031580300,17,31,580300,2426,1062,27,19,204,0,1037,77,2095,1254,1172,221,553,159,297,375,348,320,153,29.6,28.7,30.4,2426,0,0,638,3.8,42,33,219,134,31,59,534,4.12,740,102,356,282,17031580300,580300,17031580300,9350.09614,5070084.811
South/Southwest,4,SW Chicago,56,17,31,580400,17031580400,5804,Census Tract 5804,G5020,S,1316120,0,41.8152753,-87.7091844,535,17031580400,17,31,580400,4795,2052,70,50,337,5,2139,142,3926,2462,2333,474,1124,260,618,742,629,647,301,28.9,28.4,29.5,4795,0,0,1374,3.49,154,117,424,246,58,153,1047,4.03,1569,195,657,717,17031580400,580400,17031580400,15939.77493,14166766.84
South/Southwest,4,SW Chicago,57,17,31,580600,17031580600,5806,Census Tract 5806,G5020,S,492790,0,41.8173978,-87.6920314,538,17031580600,17,31,580600,5531,2717,81,66,230,1,2263,173,4778,2802,2729,560,1431,332,744,852,701,589,322,26.8,26.5,27.1,5528,0,3,1488,3.72,120,105,508,247,89,174,1200,4.08,1705,217,602,886,17031580600,580600,17031580600,10601.66998,5304393.443
South/Southwest,4,SW Chicago,58,17,31,580700,17031580700,5807,Census Tract 5807,G5020,S,549606,0,41.8174881,-87.686847,539,17031580700,17,31,580700,6137,2715,177,55,341,0,2670,179,5217,3129,3008,587,1550,432,832,958,735,747,296,26.8,27,26.6,6137,0,0,1588,3.86,121,82,557,284,78,183,1317,4.2,1842,254,759,829,17031580700,580700,17031580700,10942.8052,5916038.671
South/Southwest,4,SW Chicago,59,17,31,580800,17031580800,5808,Census Tract 5808,G5020,S,183275,0,41.8102195,-87.6866439,540,17031580800,17,31,580800,2061,913,13,17,9,0,1043,66,1923,1079,982,229,506,149,299,313,248,223,94,26,26.4,25.4,2061,0,0,529,3.9,37,30,213,80,34,49,435,4.21,592,63,233,296,17031580800,580800,17031580800,5647.016427,1972787.587
South/Southwest,4,SW Chicago,60,17,31,590500,17031590500,5905,Census Tract 5905,G5020,S,572157,24222,41.8248951,-87.6804852,541,17031590500,17,31,590500,1672,806,37,14,242,0,539,34,1001,816,856,118,284,84,244,297,214,278,153,32.9,32.5,33.4,1658,0,14,604,2.75,90,82,118,131,20,42,373,3.49,677,73,296,308,17031590500,590500,17031590500,10970.92404,6419505.391
South/Southwest,4,SW Chicago,61,17,31,590600,17031590600,5906,Census Tract 5906,G5020,S,348145,0,41.8268328,-87.6729254,542,17031590600,17,31,590600,3564,1923,60,27,203,2,1203,146,2667,1746,1818,299,771,186,502,538,469,515,284,30.5,30.4,30.6,3564,0,0,1148,3.1,122,113,280,220,48,141,840,3.63,1293,145,512,636,17031590600,590600,17031590600,8628.789275,3747480.764
South/Southwest,4,SW Chicago,62,17,31,590700,17031590700,5907,Census Tract 5907,G5020,S,869702,0,41.8267821,-87.6638518,543,17031590700,17,31,590700,3100,1824,46,18,279,0,818,115,2333,1569,1531,279,717,190,427,498,382,423,184,29.1,28.4,29.9,3093,0,7,932,3.32,107,71,278,166,42,99,703,3.84,1070,138,402,530,17031590700,590700,17031590700,13746.5268,9361575.934
South/Southwest,4,SW Chicago,63,17,31,600400,17031600400,6004,Census Tract 6004,G5020,S,327223,0,41.8417184,-87.6439321,544,17031600400,17,31,600400,3891,1334,49,10,2182,5,262,49,612,1872,2019,199,579,199,586,502,561,775,490,37.7,36.5,39.2,3891,0,0,1463,2.66,188,247,300,360,32,74,929,3.4,1618,155,529,934,17031600400,600400,17031600400,7961.235119,3522313.231
South/Southwest,4,SW Chicago,64,17,31,600600,17031600600,6006,Census Tract 6006,G5020,S,394135,0,41.8422594,-87.6554677,545,17031600600,17,31,600600,2738,1229,21,11,868,0,545,64,1051,1377,1361,189,463,160,352,411,420,472,271,34.7,33,36.5,2738,0,0,978,2.8,135,125,211,198,26,73,657,3.44,1115,137,445,533,17031600600,600600,17031600600,9825.193653,4242526.359
